Cliente;rede;uf;vendedor;codigo;loja;endereco;bairro;municipio;cep
Hiperideal Amazonas;Hiperideal;BA;Ricardo;2613;27;R AMAZONAS 1541;PITUBA;SALVADOR;41830-380
Hiperideal Armacao;Hiperideal;BA;Ricardo;2613;2;AV SIMON BOLIVAR 558;ARMACAO;SALVADOR;41750-230
Hiperideal Armacao Octavio;Hiperideal;BA;Ricardo;2613;28;AV OCTAVIO MANGABEIRA, ARMACAO;ARMACAO;SALVADOR;41750-240
Hiperideal Barra;Hiperideal;BA;Ricardo;2613;11;R MARQUES DE CARAVELAS 171;BARRA;SALVADOR;40140-241
Hiperideal Buraquinho;Hiperideal;BA;Ricardo;2613;8;AV SANTOS DUMONT 7410;BURAQUINHO;LAURO DE FREITAS;42710-860
Hiperideal Caminho Das Arvores;Hiperideal;BA;Ricardo;2613;25;AL DOS SOMBREIROS 170;CAMINHO DAS ARVORES;SALVADOR;41820-420
Hiperideal Canela;Hiperideal;BA;Ricardo;2613;26;AV REITOR MIGUEL CALMON 1977;CANELA;SALVADOR;40110-100
Hiperideal Feira De Santana;Hiperideal;BA;Ricardo;2613;31;AVENIDA NOIDE FERREIRA DE CERQUEIRA S/N;LAGOA SALGADA;FEIRA DE SANTANA;44082-225
Hiperideal Gra�a;Hiperideal;BA;Ricardo;2613;10;AV EUCLYDES DA CUNHA 08;GRACA;SALVADOR;40150-122
Hiperideal Horto Vasco;Hiperideal;BA;Ricardo;2613;29;AV VASCO DA GAMA 864;FEDERACAO;SALVADOR;40230-731
Hiperideal Itaigara;Hiperideal;BA;Ricardo;2613;16;R ANISIO TEIXEIRA 347;ITAIGARA;SALVADOR;41815-060
Hiperideal Jardim Apipema;Hiperideal;BA;Ricardo;2613;17;R PROFESSOR SABINO SILVA 607;JARDIM APIPEMA;SALVADOR;40155-250
Hiperideal Jardins Acm;Hiperideal;BA;Ricardo;2613;30;AVENIDA JURACY MAGALHAES JUNIOR 1034;HORTO FLORESTAL;SALVADOR;40295-140
Hiperideal Manoel dias Pituba;Hiperideal;BA;Ricardo;2613;18;AV MANOEL DIAS DA SILVA 1175;PITUBA;SALVADOR;41830-000
Hiperideal Paralela;Hiperideal;BA;Ricardo;2613;13;AV LUIS VIANA FILHO 8544;PATAMARES;SALVADOR;41680-400
Hiperideal Parque Shopping Lauro;Hiperideal;BA;Ricardo;2613;21;AV SANTOS DUMONT 4360;CENTRO;LAURO DE FREITAS;42702-400
Hiperideal Patamares Ibirapitanga;Hiperideal;BA;Ricardo;2613;23;AV IBIRAPITANGA 374;PATAMARES;SALVADOR;41680-360
Hiperideal Piata Orlando Gomes;Hiperideal;BA;Ricardo;2613;19;R DA GRATIDAO SN;PIATA;SALVADOR;41650-195
Hiperideal Piata Otavio Mangabeira;Hiperideal;BA;Ricardo;2613;7;AV OCTAVIO MANGABEIRA  10241;PIATA;SALVADOR;41650-000
Hiperideal Praia do Forte;Hiperideal;BA;Ricardo;2613;14;ROD BA 099 KM 54 SN;PRAIA DO FORTE;MATA DE SAO JOAO;48280-000
Hiperideal Rua Ceara Pituba;Hiperideal;BA;Ricardo;2613;12;R RUA CEARA 339;PITUBA;SALVADOR;41830-450
Hiperideal Stella Capitao Melo;Hiperideal;BA;Ricardo;2613;5;R CAPITAO MELO 1118;STELLA MARIS;SALVADOR;41600-610
Hiperideal Stella Missionario;Hiperideal;BA;Ricardo;2613;6;R MISSIONARIO OTTO NELSON 100;STELLA MARIS;SALVADOR;41600-650
Hiperideal Tororo;Hiperideal;BA;Ricardo;2613;9;AV VALE DO TORORO SN;TORORO;SALVADOR;40050-290
Hiperideal Vila Laura;Hiperideal;BA;Ricardo;2613;15;R RAUL LEITE 46;VILA LAURA;SALVADOR;40270-010
Hiperideal Vitoria;Hiperideal;BA;Ricardo;2613;20;AV SETE DE SETEMBRO 304;CAMPO GRANDE;SALVADOR;40080-001
Hortifruti Express;Outros;SE;Vinicius;2562;1;R RADIALISTA CARLOS RODOLFO RODRIGUES GO;PONTO NOVO;ARACAJU;49097-563
Hortifruti Mendes;Outros;BA;Antonio;2990;1;TV RAIMUNDO DIAS DA SILVA 403;JARDIM FLORIDA;JUAZEIRO;48900-616
Hospital Das Clinicas De Alagoinhas S.A.;Outros;BA;Nixon;2981;1;PC RUI BARBOSA 11;CENTRO;ALAGOINHAS;48010-130
JNS Mercadinho Economico Jua;Outros;BA;Antonio;5079;2;TRAVESSA DA MARAVILHA 836;CENTRO;JUAZEIRO;48901-774
JNS Mercadinho Economico Pet Dom;Outros;PE;Antonio;5079;1;AVENIDA DA INTEGRACAO AYRTON SENNA 484;DOM MALAN;PETROLINA;56328-010
JNS Mercadinho Economico Pet Quati;Outros;PE;Antonio;5080;1;AVENIDA DOIS 166;JARDIM SAO PAULO;PETROLINA;56314-440
Ki Distribuidora E Atacado;Outros;SE;Vinicius;4586;1;RODOVIA JUSCELINO KUBITSCHEK S/N;ZONA RURAL;NOSSA SENHORA DA GLORIA;49680-000
Le Delis;Outros;BA;Nixon;4561;1;AVENIDA LUIS VIANA FILHO 6312;PATAMARES;SALVADOR;41680-400
Mabeni Aracaju;Outros;SE;Vinicius;4607;1;RUA MANOEL MESSIAS MELO 676;ARUANA;ARACAJU;49000-179
Macaxeira Alimentos Congelados;Outros;PE;Antonio;2992;1;R VINTE E QUATR0 415B;COHAB SAO FRANCISCO;PETROLINA;56302-970
Maria Suely;Outros;BA;Antonio;308;1;R MERCADO DO PRODUTOR PAVILHAO 01 , 25A2;TANCREDO NEVES;JUAZEIRO;48907-310
Massimo - Centro;Outros;SE;Vinicius;2652;3;ROD ESTADUAL SE-449 SN;CENTRO;BARRA DOS COQUEIROS;49140-000
Massimo Farolandia;Outros;SE;Vinicius;2652;2;AV DR ADEL NUNES 1059;FAROLANDIA;ARACAJU;49032-100
Massimo Luzia;Outros;SE;Vinicius;2652;1;AV HERMES FONTES  1568;LUZIA;ARACAJU;49045-760
Mateus Aracaju Santa Monica;Mateus;SE;Ricardo;2459;D5;AVENIDA JOAO RODRIGUES 582;INDUSTRIAL;ARACAJU;49065-450
Mateus Caseb Feira Lj;Mateus;BA;Ricardo;2459;D6;AVENIDA EDUARDO FROES DA MOTA SN;CASEB;FEIRA DE SANTANA;44052-151
Mateus Cd - Feira De Santana;Mateus;BA;Ricardo;1456;12;ROD BA 502 SN;BOA HORA;SAO GONCALO DOS CAMPOS;44330-000
